"Geography code","LA code","LA name","Region code","Region name","Net Total Expenditure (x1000)","Gross Total Expenditure (x1000)","Gross Current Expenditure (x1000)","Support provided to carers during the year","Social care-related quality of life score (All)","Social care-related quality of life score (Male)","Social care-related quality of life score (Female)","age_group","Number of requests for support received from new clients","New clients with an episode of ST-Max care and a known sequel","Long Term Support during the year","Social care-related quality of life score"
"E10000006",102,"Cumbria","E12000002","North West",145170,180112,178651,12740,20.0,19.8,20.1,"18 to 64",5210,200.0,2550.0,20.1
"E10000006",102,"Cumbria","E12000002","North West",145170,180112,178651,12740,20.0,19.8,20.1,"65 and over",12220,1620.0,5400.0,19.9
"E06000057",104,"Northumberland","E12000001","North East",89534,116270,116270,2235,19.2,19.2,19.2,"18 to 64",2925,1265.0,1965.0,19.0
"E06000057",104,"Northumberland","E12000001","North East",89534,116270,116270,2235,19.2,19.2,19.2,"65 and over",13000,6290.0,4775.0,19.3
"E08000037",106,"Gateshead","E12000001","North East",74038,89074,85646,1465,19.5,19.7,19.3,"18 to 64",1590,100.0,850.0,20.5
"E08000037",106,"Gateshead","E12000001","North East",74038,89074,85646,1465,19.5,19.7,19.3,"65 and over",5020,790.0,2695.0,19.1
"E08000021",107,"Newcastle upon Tyne","E12000001","North East",98594,116935,116681,2300,19.2,19.5,19.0,"18 to 64",3075,190.0,1755.0,19.7
"E08000021",107,"Newcastle upon Tyne","E12000001","North East",98594,116935,116681,2300,19.2,19.5,19.0,"65 and over",6890,1640.0,3355.0,18.9
"E08000022",108,"North Tyneside","E12000001","North East",58473,70864,70489,1590,19.2,19.2,19.1,"18 to 64",4555,305.0,1165.0,19.5
"E08000022",108,"North Tyneside","E12000001","North East",58473,70864,70489,1590,19.2,19.2,19.1,"65 and over",6735,935.0,2875.0,19.0
"E08000023",109,"South Tyneside","E12000001","North East",47085,56842,56302,415,18.8,19.1,18.7,"18 to 64",5220,55.0,785.0,19.9
"E08000023",109,"South Tyneside","E12000001","North East",47085,56842,56302,415,18.8,19.1,18.7,"65 and over",8695,535.0,2275.0,18.4
"E08000024",110,"Sunderland","E12000001","North East",79235,99476,99170,2760,19.7,19.7,19.6,"18 to 64",4040,195.0,1350.0,20.1
"E08000024",110,"Sunderland","E12000001","North East",79235,99476,99170,2760,19.7,19.7,19.6,"65 and over",9685,2065.0,3225.0,19.5
"E06000001",111,"Hartlepool","E12000001","North East",32245,43892,43892,1835,19.9,20.0,19.9,"18 to 64",1670,280.0,710.0,19.5
"E06000001",111,"Hartlepool","E12000001","North East",32245,43892,43892,1835,19.9,20.0,19.9,"65 and over",1815,755.0,1770.0,20.1
"E06000002",112,"Middlesbrough","E12000001","North East",47401,58492,57496,1600,19.8,20.1,19.7,"18 to 64",1725,40.0,1345.0,19.9
"E06000002",112,"Middlesbrough","E12000001","North East",47401,58492,57496,1600,19.8,20.1,19.7,"65 and over",3100,150.0,2135.0,19.7
"E06000003",113,"Redcar and Cleveland","E12000001","North East",43560,54705,53984,1505,19.4,19.4,19.5,"18 to 64",1325,25.0,1005.0,19.4
"E06000003",113,"Redcar and Cleveland","E12000001","North East",43560,54705,53984,1505,19.4,19.4,19.5,"65 and over",3705,385.0,2255.0,19.5
"E06000004",114,"Stockton-on-Tees","E12000001","North East",53650,68078,67684,855,19.6,19.9,19.5,"18 to 64",1095,90.0,1235.0,19.4
"E06000004",114,"Stockton-on-Tees","E12000001","North East",53650,68078,67684,855,19.6,19.9,19.5,"65 and over",3265,690.0,2635.0,19.8
"E06000047",116,"County Durham","E12000001","North East",133670,173882,173316,5710,19.7,19.6,19.7,"18 to 64",12030,145.0,3200.0,20.2
"E06000047",116,"County Durham","E12000001","North East",133670,173882,173316,5710,19.7,19.6,19.7,"65 and over",11445,1845.0,9135.0,19.5
"E06000005",117,"Darlington","E12000001","North East",30779,38904,38895,310,18.8,19.5,18.3,"18 to 64",2660,50.0,550.0,20.0
"E06000005",117,"Darlington","E12000001","North East",30779,38904,38895,310,18.8,19.5,18.3,"65 and over",3755,675.0,1075.0,18.0
"E08000016",204,"Barnsley","E12000003","Yorkshire and The Humber",48944,61871,60670,1695,20.2,20.4,20.0,"18 to 64",2900,30.0,1010.0,20.2
