match,match_type,crossed,b_cost,v_cost,set,rank
0,exact,not,15,15,baseline,0
1,exact,not,20,19,baseline,2
2,exact,not,20,20,baseline,3
3,exact,not,27,27,baseline,4
4,exact,not,28,28,baseline,5
5,exact,not,28,28,baseline,6
6,exact,not,28,28,baseline,7
7,exact,not,29,29,baseline,10
8,exact,not,29,29,baseline,11
9,exact,not,29,29,baseline,13
10,exact,with_equal_cost,30,30,baseline,14
11,exact,with_different_cost,30,29,baseline,15
12,exact,with_different_cost,30,29,baseline,16
0,exact,not,15,15,verde,0
1,exact,not,20,19,verde,1
2,exact,not,20,20,verde,2
3,exact,not,27,27,verde,3
4,exact,not,28,28,verde,4
5,exact,not,28,28,verde,5
6,exact,not,28,28,verde,6
7,exact,not,29,29,verde,7
8,exact,not,29,29,verde,8
9,exact,not,29,29,verde,9
10,exact,with_equal_cost,30,30,verde,12
11,exact,with_different_cost,30,29,verde,11
12,exact,with_different_cost,30,29,verde,10
