Geography_code,LA_code,LA_name,Region_code,Region_name,Net_Total_Expenditure_x1000,Gross_Total_Expenditure_x1000,Gross_Current_Expenditure_x1000,Number_of_requests_for_support_received_from_new_clients_18_to_64,Number_of_requests_for_support_received_from_new_clients_65_and_over,New_clients_with_an_episode_of_ST_Max_care_and_a_known_sequel_18_to_64,New_clients_with_an_episode_of_ST_Max_care_and_a_known_sequel_65_and_over,Long_Term_Support_during_the_year_18_to_64,Long_Term_Support_during_the_year_65_and_over,Support_provided_to_carers_during_the_year,Social_care_related_quality_of_life_score_All,Social_care_related_quality_of_life_score_Male,Social_care_related_quality_of_life_score_Female,Social_care_related_quality_of_life_score_18_to_64,Social_care_related_quality_of_life_score_65_and_over
E06000057,104,Northumberland,E12000001,North East,89534,116270,116270,2925,13000,1265,6290,1965,4775,2235,19.2,19.2,19.2,19.0,19.3
E08000037,106,Gateshead,E12000001,North East,74038,89074,85646,1590,5020,100,790,850,2695,1465,19.5,19.7,19.3,20.5,19.1
E08000021,107,Newcastle upon Tyne,E12000001,North East,98594,116935,116681,3075,6890,190,1640,1755,3355,2300,19.2,19.5,19.0,19.7,18.9
E08000022,108,North Tyneside,E12000001,North East,58473,70864,70489,4555,6735,305,935,1165,2875,1590,19.2,19.2,19.1,19.5,19.0
E08000023,109,South Tyneside,E12000001,North East,47085,56842,56302,5220,8695,55,535,785,2275,415,18.8,19.1,18.7,19.9,18.4
E08000024,110,Sunderland,E12000001,North East,79235,99476,99170,4040,9685,195,2065,1350,3225,2760,19.7,19.7,19.6,20.1,19.5
E06000001,111,Hartlepool,E12000001,North East,32245,43892,43892,1670,1815,280,755,710,1770,1835,19.9,20.0,19.9,19.5,20.1
E06000002,112,Middlesbrough,E12000001,North East,47401,58492,57496,1725,3100,40,150,1345,2135,1600,19.8,20.1,19.7,19.9,19.7
E06000003,113,Redcar and Cleveland,E12000001,North East,43560,54705,53984,1325,3705,25,385,1005,2255,1505,19.4,19.4,19.5,19.4,19.5
E06000004,114,Stockton-on-Tees,E12000001,North East,53650,68078,67684,1095,3265,90,690,1235,2635,855,19.6,19.9,19.5,19.4,19.8
E06000047,116,County Durham,E12000001,North East,133670,173882,173316,12030,11445,145,1845,3200,9135,5710,19.7,19.6,19.7,20.2,19.5
E06000005,117,Darlington,E12000001,North East,30779,38904,38895,2660,3755,50,675,550,1075,310,18.8,19.5,18.3,20.0,18.0
E10000006,102,Cumbria,E12000002,North West,145170,180112,178651,5210,12220,200,1620,2550,5400,12740,20.0,19.8,20.1,20.1,19.9
E08000001,304,Bolton,E12000002,North West,81023,97350,97256,3275,8170,110,1370,2225,3820,1575,18.6,19.0,18.3,18.5,18.7
E08000002,305,Bury,E12000002,North West,59034,70046,69926,1315,3580,75,850,1205,2275,890,19.1,19.6,18.8,19.5,18.9
E08000003,306,Manchester,E12000002,North West,158371,181543,180590,10720,11270,235,1390,5065,5150,2350,17.8,17.9,17.7,17.7,17.8
E08000004,307,Oldham,E12000002,North West,60825,75901,75311,2630,4485,50,665,1460,2740,2195,18.9,19.9,18.3,19.6,18.3
E08000005,308,Rochdale,E12000002,North West,56438,69890,65556,2895,4670,145,960,1170,1675,4760,19.2,19.6,18.9,19.2,19.2
E08000006,309,Salford,E12000002,North West,61321,75182,72053,3985,5745,90,790,2205,3160,2920,18.7,18.7,18.7,18.3,19.0
E08000007,310,Stockport,E12000002,North West,83140,101179,100850,800,4615,225,2075,2405,4215,2545,18.6,18.9,18.3,19.3,18.1
E08000008,311,Tameside,E12000002,North West,43883,60086,60086,1495,5680,735,3735,1015,2675,1025,18.8,19.1,18.6,19.6,18.4
E08000009,312,Trafford,E12000002,North West,54694,66086,65658,3440,8880,65,770,950,2340,1145,18.6,19.2,18.2,19.5,18.1
E08000010,313,Wigan,E12000002,North West,86867,105039,103998,3120,7520,125,1005,1810,3270,1415,18.9,19.2,18.7,19.5,18.6
E08000011,315,Knowsley,E12000002,North West,53326,65054,64350,1255,2425,30,195,1140,2200,2710,19.5,19.6,19.5,20.2,19.0
E08000012,316,Liverpool,E12000002,North West,166451,192628,189444,4530,6525,225,1795,3205,6145,2850,19.2,19.6,18.9,19.7,18.9
E08000014,317,Sefton,E12000002,North West,93751,114134,113528,3670,7260,100,1030,1905,3960,1575,19.6,19.7,19.5,19.6,19.6
E08000013,318,St. Helens,E12000002,North West,50623,62413,62238,3920,6670,45,525,1225,3190,2300,19.3,19.8,19.0,19.7,19.1
E08000015,319,Wirral,E12000002,North West,89729,110603,110041,2895,8240,265,2805,1380,3405,815,19.0,19.3,18.9,18.9,19.1
E06000006,321,Halton,E12000002,North West,44973,54336,54092,475,1955,55,550,950,1310,625,19.6,19.6,19.6,20.1,19.1
E06000007,322,Warrington,E12000002,North West,63898,77877,77877,2775,6315,710,615,1125,2300,4540,18.7,19.4,18.3,19.0,18.6
E10000017,323,Lancashire,E12000002,North West,401922,490695,488889,9375,26350,620,5400,7610,15035,12510,19.1,19.1,19.0,19.3,18.9
E06000008,324,Blackburn with Darwen,E12000002,North West,48312,56759,56830,2160,3525,70,465,1010,1740,380,19.4,19.3,19.5,19.8,19.2
E06000009,325,Blackpool,E12000002,North West,53263,70395,69999,1765,3970,220,1050,1075,2530,1300,19.5,19.8,19.3,19.7,19.4
E06000049,326,Cheshire East,E12000002,North West,122866,145497,145492,5295,10925,2370,1520,1685,3715,1740,19.4,19.9,19.1,20.2,19.0
E06000050,327,Cheshire West and Chester,E12000002,North West,92506,110356,109447,1645,6210,80,715,1940,3845,1355,19.4,19.7,19.2,20.2,18.8
E08000016,204,Barnsley,E12000003,Yorkshire and The Humber,48944,61871,60670,2900,7455,30,475,1010,2655,1695,20.2,20.4,20.0,20.2,20.2
E08000017,205,Doncaster,E12000003,Yorkshire and The Humber,85826,108755,108705,4530,11125,380,2160,1395,3400,495,18.8,19.1,18.5,19.3,18.3
E08000018,206,Rotherham,E12000003,Yorkshire and The Humber,80963,95875,94766,4460,10410,60,700,1610,3400,1640,19.3,19.3,19.2,19.8,19.0
E08000019,207,Sheffield,E12000003,Yorkshire and The Humber,155027,181482,180779,21315,10135,545,2990,4575,6660,11730,18.6,18.9,18.4,19.1,18.3
E08000032,209,Bradford,E12000003,Yorkshire and The Humber,136826,165022,163638,14185,51660,290,2845,2745,4725,2870,19.6,19.9,19.4,19.9,19.4
E08000033,210,Calderdale,E12000003,Yorkshire and The Humber,55528,68598,68073,7305,28260,85,855,1150,2205,725,19.0,19.1,18.9,19.7,18.5
E08000034,211,Kirklees,E12000003,Yorkshire and The Humber,112092,135817,135165,4345,8930,285,970,2140,4055,4745,19.0,19.4,18.8,19.7,18.7
E08000035,212,Leeds,E12000003,Yorkshire and The Humber,251400,281996,271600,7845,21025,220,2495,4260,6985,4920,19.6,20.0,19.2,20.4,18.9
E08000036,213,Wakefield,E12000003,Yorkshire and The Humber,86778,105760,104267,6170,16620,115,735,2240,3305,1910,19.4,19.9,19.0,19.5,19.2
E06000011,214,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,94054,126535,126543,4990,16385,60,820,1860,5040,3475,19.5,19.8,19.2,19.8,19.3
E06000010,215,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber,75148,94907,93795,3360,7230,145,750,1515,3080,1275,19.6,19.8,19.5,20.2,19.2
E06000012,216,North East Lincolnshire,E12000003,Yorkshire and The Humber,44433,53713,53713,7675,5275,25,145,830,1790,870,19.3,19.8,18.9,20.7,18.5
E06000013,217,North Lincolnshire,E12000003,Yorkshire and The Humber,42674,51437,49785,3420,8315,270,1080,790,1430,1160,19.4,19.5,19.4,20.0,19.0
E10000023,218,North Yorkshire,E12000003,Yorkshire and The Humber,181549,220890,217093,6990,19055,330,2650,4280,5685,3485,19.9,20.0,19.8,20.2,19.7
E06000014,219,York,E12000003,Yorkshire and The Humber,55408,68475,68475,1130,4425,45,345,910,1645,1105,18.8,19.2,18.6,19.8,18.1
E10000019,503,Lincolnshire,E12000004,East Midlands,163405,205564,204915,8045,24145,200,2465,3615,8100,10325,19.3,20.0,18.8,19.8,19.0
E10000021,504,Northamptonshire,E12000004,East Midlands,189152,226139,218193,2460,9615,225,2815,3460,6165,3030,19.3,19.6,19.0,19.8,18.9
E10000007,506,Derbyshire,E12000004,East Midlands,248427,294161,288710,12640,39805,725,3090,3475,8350,7415,19.3,19.6,19.1,19.9,19.0
E06000015,507,Derby,E12000004,East Midlands,66910,78322,78322,3390,6510,80,965,1625,2820,1255,19.0,19.1,18.9,19.8,18.3
E10000018,508,Leicestershire,E12000004,East Midlands,154769,193729,189494,5790,20080,185,3145,3110,6515,3855,18.6,19.3,18.2,19.2,18.2
E06000016,509,Leicester,E12000004,East Midlands,104269,120436,118729,5755,8595,415,1030,2345,3700,1095,18.8,19.4,18.3,18.7,18.8
E06000017,510,Rutland,E12000004,East Midlands,11690,13357,13357,280,1440,5,255,130,330,215,20.1,20.1,20.1,20.6,19.8
E10000024,511,Nottinghamshire,E12000004,East Midlands,246018,285638,284043,5825,23035,1200,4430,4385,7925,6185,19.1,19.6,18.8,19.1,19.1
E06000018,512,Nottingham,E12000004,East Midlands,111901,130454,130253,6565,6870,130,885,2495,3620,2455,18.9,19.1,18.7,18.9,18.9
E10000031,404,Warwickshire,E12000005,West Midlands,139844,176776,176107,1555,6385,85,985,2435,6135,3660,19.1,19.6,18.8,20.0,18.7
E08000025,406,Birmingham,E12000005,West Midlands,311937,362819,359999,12565,22280,135,680,5120,11490,4015,18.7,19.2,18.4,19.1,18.5
E08000026,407,Coventry,E12000005,West Midlands,87954,100886,98884,3705,6660,125,1495,1350,2980,1585,19.1,19.8,18.7,19.7,18.8
E08000027,408,Dudley,E12000005,West Midlands,93647,109570,108707,4450,14035,95,1140,1575,3440,1295,19.4,19.7,19.2,20.2,19.0
E08000028,409,Sandwell,E12000005,West Midlands,89925,105544,104575,1550,5175,200,1550,1435,3470,835,19.6,20.1,19.2,20.4,19.2
E08000029,410,Solihull,E12000005,West Midlands,58845,70850,70850,1075,4000,20,595,995,1945,1495,18.7,19.0,18.6,19.1,18.6
E08000030,411,Walsall,E12000005,West Midlands,68252,79358,79153,2070,7735,70,1035,1045,2615,595,18.8,19.6,18.3,19.6,18.5
E08000031,412,Wolverhampton,E12000005,West Midlands,77210,94159,93096,1915,3770,25,270,1345,3205,5545,19.2,19.8,18.9,20.2,18.7
E10000028,413,Staffordshire,E12000005,West Midlands,221803,278094,278094,5255,16675,410,1330,4640,9000,5165,19.1,19.5,18.8,19.5,18.8
E06000021,414,Stoke-on-Trent,E12000005,West Midlands,82347,97528,96871,2255,3745,25,160,1225,3050,740,19.6,19.8,19.5,20.4,19.2
E06000019,415,"Herefordshire, County of",E12000005,West Midlands,61483,72184,71710,980,4945,35,495,1010,2035,545,19.8,20.2,19.6,20.4,19.5
E10000034,416,Worcestershire,E12000005,West Midlands,162651,187926,187926,5855,23455,95,1650,2635,5655,1920,18.9,19.2,18.6,19.6,18.4
E06000051,417,Shropshire,E12000005,West Midlands,103193,121384,120713,1055,3490,55,1015,1260,3145,195,19.5,19.8,19.4,20.1,19.2
E06000020,418,Telford and Wrekin,E12000005,West Midlands,49267,55988,55925,1200,2535,55,625,795,1425,920,19.0,18.9,19.1,19.6,18.6
E10000015,606,Hertfordshire,E12000006,East of England,355363,409869,408154,6055,20335,210,2920,5165,9390,4535,19.4,20.1,18.9,20.3,18.7
E10000020,607,Norfolk,E12000006,East of England,312903,372550,354342,9770,28485,350,5810,5270,9425,4075,18.9,19.1,18.8,19.1,18.8
E10000029,609,Suffolk,E12000006,East of England,244272,280623,279023,11460,28450,860,3370,3795,8670,2545,19.4,19.6,19.4,19.7,19.3
E06000032,611,Luton,E12000006,East of England,60815,69402,69152,1345,3185,60,620,1320,2095,1070,19.0,19.3,18.7,19.3,18.8
E10000012,620,Essex,E12000006,East of England,466907,552955,549197,9425,24165,2880,5790,7575,14195,4050,19.3,20.3,18.7,19.8,19.0
E06000033,621,Southend-on-Sea,E12000006,East of England,41952,52799,52463,2920,5990,585,1295,1700,2370,1205,19.3,19.8,19.0,20.0,19.0
E06000034,622,Thurrock,E12000006,East of England,37143,44697,44643,1785,4180,30,225,705,1545,605,19.2,19.3,19.1,19.6,19.0
E10000003,623,Cambridgeshire,E12000006,East of England,160166,182261,182261,3145,13030,135,2485,2550,4900,2935,19.7,20.2,19.3,20.1,19.4
E06000031,624,Peterborough,E12000006,East of England,44805,50670,49993,935,2545,65,605,1025,1900,1185,19.4,19.0,19.7,19.9,19.1
E06000055,625,Bedford,E12000006,East of England,57577,67287,67287,470,1295,30,300,1305,2390,370,19.0,19.2,18.9,19.0,19.0
E06000056,626,Central Bedfordshire,E12000006,East of England,89649,102769,101143,1375,5370,25,365,1195,2560,1625,19.2,19.4,19.0,19.6,18.9
E09000007,702,Camden,E12000007,London,81127,90658,90658,740,1630,125,660,1475,1850,1075,18.2,18.7,17.7,18.6,17.8
E09000011,703,Greenwich,E12000007,London,86342,96750,96157,2455,3510,85,475,2325,2625,585,18.4,18.6,18.3,18.8,18.1
E09000012,704,Hackney,E12000007,London,80300,86390,82618,4065,2910,35,270,1210,2010,1135,18.5,19.4,17.7,19.8,17.5
E09000013,705,Hammersmith and Fulham,E12000007,London,56458,61063,60128,945,2045,170,650,940,2065,665,17.9,18.0,17.8,18.2,17.7
E09000019,706,Islington,E12000007,London,80549,90094,89743,3330,3820,65,405,1460,2005,1060,18.7,19.4,18.2,19.0,18.5
E09000020,707,Kensington and Chelsea,E12000007,London,49476,54924,54562,965,2425,175,640,700,1375,1080,17.9,18.2,17.6,17.5,18.1
E09000022,708,Lambeth,E12000007,London,98705,107148,107148,3255,3865,110,460,1825,2610,1035,18.3,18.7,18.0,18.3,18.3
E09000023,709,Lewisham,E12000007,London,90721,104357,104225,2695,4460,270,1140,1265,2350,605,18.8,19.0,18.7,19.0,18.7
E09000028,710,Southwark,E12000007,London,86811,94831,93863,1455,2630,170,620,1835,2480,1490,16.7,16.6,16.9,16.0,17.5
E09000030,711,Tower Hamlets,E12000007,London,100925,107548,107522,1650,2310,140,370,1640,2375,1635,18.6,18.8,18.4,19.0,18.3
E09000032,712,Wandsworth,E12000007,London,88596,98339,98292,860,2370,45,425,1605,2380,690,18.9,19.3,18.6,19.3,18.6
E09000033,713,Westminster,E12000007,London,74486,80921,80741,1435,2615,280,920,1190,2040,1120,18.2,18.8,17.8,18.5,18.0
E09000001,714,City of London,E12000007,London,6010,6195,6107,45,110,5,20,60,75,65,19.3,19.9,18.3,19.5,19.0
E09000002,716,Barking and Dagenham,E12000007,London,50444,58030,56991,6205,6320,110,605,1105,1785,1330,19.0,19.3,18.8,19.3,18.8
E09000003,717,Barnet,E12000007,London,97560,110108,108577,2360,6260,55,715,2035,4480,1270,19.0,18.9,19.1,19.0,19.0
E09000004,718,Bexley,E12000007,London,59022,69887,68956,2565,5675,80,755,1140,2145,2730,19.1,19.5,18.8,20.0,18.5
E09000005,719,Brent,E12000007,London,77908,89771,89771,1265,5295,90,790,1515,3120,900,18.4,18.3,18.5,19.3,17.8
E09000006,720,Bromley,E12000007,London,75013,90751,90447,1470,5035,410,560,1710,2655,2060,18.8,18.9,18.8,20.3,17.9
E09000008,721,Croydon,E12000007,London,119227,135656,146429,2885,4460,165,1095,3245,3905,1350,18.3,18.5,18.1,19.4,17.7
