match,match_type,crossed,b_cost,v_cost,set,rank
0,verde_addition,not,14,14,baseline,0
1,verde_addition,not,16,16,baseline,1
2,verde_addition,not,17,17,baseline,2
3,verde_addition,not,18,17,baseline,3
4,verde_addition,with_equal_cost,19,19,baseline,4
5,verde_addition,with_equal_cost,20,20,baseline,5
6,verde_addition,with_different_cost,20,19,baseline,6
7,verde_addition,with_different_cost,21,20,baseline,7
8,verde_addition,not,21,21,baseline,8
9,verde_addition,not,22,22,baseline,9
10,verde_addition,not,22,22,baseline,10
11,verde_addition,not,22,22,baseline,11
12,verde_addition,with_equal_cost,23,23,baseline,12
13,verde_addition,with_different_cost,23,22,baseline,13
14,verde_addition,with_equal_cost,23,23,baseline,14
15,verde_addition,with_equal_cost,24,24,baseline,15
16,verde_addition,with_different_cost,24,23,baseline,16
17,verde_addition,with_equal_cost,24,24,baseline,18
18,verde_addition,with_different_cost,25,24,baseline,19
0,verde_addition,not,14,14,verde,0
1,verde_addition,not,16,16,verde,1
2,verde_addition,not,17,17,verde,2
3,verde_addition,not,18,17,verde,3
4,verde_addition,with_equal_cost,19,19,verde,5
5,verde_addition,with_equal_cost,20,20,verde,7
6,verde_addition,with_different_cost,20,19,verde,4
7,verde_addition,with_different_cost,21,20,verde,6
8,verde_addition,not,21,21,verde,8
9,verde_addition,not,22,22,verde,9
10,verde_addition,not,22,22,verde,10
11,verde_addition,not,22,22,verde,11
12,verde_addition,with_equal_cost,23,23,verde,15
13,verde_addition,with_different_cost,23,22,verde,12
14,verde_addition,with_equal_cost,23,23,verde,13
15,verde_addition,with_equal_cost,24,24,verde,18
16,verde_addition,with_different_cost,24,23,verde,14
17,verde_addition,with_equal_cost,24,24,verde,19
18,verde_addition,with_different_cost,25,24,verde,16
