match,match_type,crossed,b_cost,v_cost,set,rank
0,verde_addition,with_equal_cost,23,23,baseline,0
1,verde_addition,with_equal_cost,24,24,baseline,1
2,verde_addition,with_different_cost,24,23,baseline,2
3,verde_addition,with_equal_cost,25,25,baseline,3
4,verde_addition,with_different_cost,25,24,baseline,4
5,verde_addition,with_different_cost,26,25,baseline,5
6,verde_addition,not,30,30,baseline,6
7,verde_addition,not,31,30,baseline,7
8,exact,with_equal_cost,31,31,baseline,8
9,verde_addition,with_equal_cost,31,31,baseline,9
10,exact,with_different_cost,32,31,baseline,10
11,verde_addition,not,32,31,baseline,11
12,verde_addition,with_equal_cost,34,34,baseline,12
13,verde_addition,with_equal_cost,35,35,baseline,13
14,verde_addition,with_equal_cost,35,35,baseline,14
15,verde_addition,with_different_cost,35,34,baseline,15
16,verde_addition,not,36,35,baseline,18
0,verde_addition,with_equal_cost,23,23,verde,1
1,verde_addition,with_equal_cost,24,24,verde,3
2,verde_addition,with_different_cost,24,23,verde,0
3,verde_addition,with_equal_cost,25,25,verde,5
4,verde_addition,with_different_cost,25,24,verde,2
5,verde_addition,with_different_cost,26,25,verde,4
6,verde_addition,not,30,30,verde,6
7,verde_addition,not,31,30,verde,7
8,exact,with_equal_cost,31,31,verde,9
9,verde_addition,with_equal_cost,31,31,verde,10
10,exact,with_different_cost,32,31,verde,8
11,verde_addition,not,32,31,verde,11
12,verde_addition,with_equal_cost,34,34,verde,13
13,verde_addition,with_equal_cost,35,35,verde,16
14,verde_addition,with_equal_cost,35,35,verde,15
15,verde_addition,with_different_cost,35,34,verde,12
16,verde_addition,not,36,35,verde,17
