set,rank,prop
baseline,0,view(v_v).
baseline,0,"encoding(v_v,e0)."
baseline,0,"encoding(v_v,e1)."
baseline,0,"encoding(v_v,e2)."
baseline,0,"channel(v_v,e0,x)."
baseline,0,"channel(v_v,e1,y)."
baseline,0,"channel(v_v,e2,size)."
baseline,0,"field(v_v,e0,""Gross_Total_Expenditure_x1000"")."
baseline,0,"field(v_v,e1,""Social_care_related_quality_of_life_score_All"")."
baseline,0,"field(v_v,e2,""Support_provided_to_carers_during_the_year"")."
baseline,0,"zero(v_v,e1)."
baseline,0,"zero(v_v,e2)."
baseline,0,"type(v_v,e0,quantitative)."
baseline,0,"type(v_v,e1,quantitative)."
baseline,0,"type(v_v,e2,quantitative)."
baseline,0,"mark(v_v,point)."
baseline,0,"log(v_v,e0)."
baseline,1,view(v_v).
baseline,1,"encoding(v_v,e0)."
baseline,1,"encoding(v_v,e1)."
baseline,1,"encoding(v_v,e2)."
baseline,1,"channel(v_v,e0,x)."
baseline,1,"channel(v_v,e2,y)."
baseline,1,"channel(v_v,e1,size)."
baseline,1,"field(v_v,e0,""Gross_Total_Expenditure_x1000"")."
baseline,1,"field(v_v,e1,""Social_care_related_quality_of_life_score_All"")."
baseline,1,"field(v_v,e2,""Support_provided_to_carers_during_the_year"")."
baseline,1,"zero(v_v,e1)."
baseline,1,"zero(v_v,e2)."
baseline,1,"type(v_v,e0,quantitative)."
baseline,1,"type(v_v,e1,quantitative)."
baseline,1,"type(v_v,e2,quantitative)."
baseline,1,"mark(v_v,point)."
baseline,1,"log(v_v,e0)."
baseline,2,view(v_v).
baseline,2,"encoding(v_v,e0)."
baseline,2,"encoding(v_v,e1)."
baseline,2,"encoding(v_v,e2)."
baseline,2,"channel(v_v,e1,x)."
baseline,2,"channel(v_v,e0,y)."
baseline,2,"channel(v_v,e2,size)."
baseline,2,"field(v_v,e0,""Gross_Total_Expenditure_x1000"")."
baseline,2,"field(v_v,e1,""Social_care_related_quality_of_life_score_All"")."
baseline,2,"field(v_v,e2,""Support_provided_to_carers_during_the_year"")."
baseline,2,"zero(v_v,e1)."
baseline,2,"zero(v_v,e2)."
baseline,2,"type(v_v,e0,quantitative)."
baseline,2,"type(v_v,e1,quantitative)."
baseline,2,"type(v_v,e2,quantitative)."
baseline,2,"mark(v_v,point)."
baseline,2,"log(v_v,e0)."
baseline,3,view(v_v).
baseline,3,"encoding(v_v,e0)."
