match,match_type,crossed,b_cost,v_cost,set,rank
0,verde_addition,not,27,26,baseline,2
1,verde_addition,not,27,26,baseline,3
2,verde_addition,with_equal_cost,28,28,baseline,4
3,verde_addition,with_equal_cost,28,28,baseline,5
4,verde_addition,with_equal_cost,30,30,baseline,6
5,verde_addition,with_different_cost,30,31,baseline,6
6,verde_addition,with_equal_cost,30,30,baseline,7
7,verde_addition,with_equal_cost,30,30,baseline,8
8,verde_addition,with_equal_cost,30,30,baseline,9
9,verde_addition,with_different_cost,31,30,baseline,11
10,verde_addition,with_equal_cost,31,31,baseline,11
11,verde_addition,with_different_cost,31,30,baseline,12
12,verde_addition,with_equal_cost,31,31,baseline,13
13,verde_addition,with_different_cost,31,30,baseline,15
14,verde_addition,with_different_cost,31,30,baseline,17
15,verde_addition,with_different_cost,31,30,baseline,19
0,verde_addition,not,27,26,verde,0
1,verde_addition,not,27,26,verde,1
2,verde_addition,with_equal_cost,28,28,verde,3
3,verde_addition,with_equal_cost,28,28,verde,2
4,verde_addition,with_equal_cost,30,30,verde,11
5,verde_addition,with_different_cost,30,31,verde,16
6,verde_addition,with_equal_cost,30,30,verde,12
7,verde_addition,with_equal_cost,30,30,verde,8
8,verde_addition,with_equal_cost,30,30,verde,9
9,verde_addition,with_different_cost,31,30,verde,11
10,verde_addition,with_equal_cost,31,31,verde,16
11,verde_addition,with_different_cost,31,30,verde,13
12,verde_addition,with_equal_cost,31,31,verde,19
13,verde_addition,with_different_cost,31,30,verde,7
14,verde_addition,with_different_cost,31,30,verde,10
15,verde_addition,with_different_cost,31,30,verde,6
