set,rank,violation,num,weight,cost_contrib
baseline,0,c_c_point,1,0,0
baseline,0,continuous_x,1,0,0
baseline,0,continuous_y,1,0,0
baseline,0,encoding,3,0,0
baseline,0,encoding_field,3,6,18
baseline,0,nominal_color,1,6,6
baseline,0,type_n,1,2,2
baseline,0,type_q,2,0,0
baseline,1,c_c_point,1,0,0
baseline,1,continuous_x,1,0,0
baseline,1,continuous_y,1,0,0
baseline,1,encoding,3,0,0
baseline,1,encoding_field,3,6,18
baseline,1,nominal_color,1,6,6
baseline,1,type_n,1,2,2
baseline,1,type_q,2,0,0
baseline,1,x_y_fields_order,1,1,1
baseline,2,bin,1,2,2
baseline,2,continuous_size,1,1,1
baseline,2,d_d_point,1,0,0
baseline,2,encoding,3,0,0
baseline,2,encoding_field,3,6,18
baseline,2,nominal_y,1,0,0
baseline,2,ordered_x,1,1,1
baseline,2,type_n,1,2,2
baseline,2,type_q,2,0,0
baseline,2,x_y_fields_order,1,1,1
baseline,2,x_y_raw,1,1,1
baseline,2,zero_bin,1,1,1
baseline,3,bin,1,2,2
baseline,3,continuous_size,1,1,1
baseline,3,d_d_point,1,0,0
baseline,3,encoding,3,0,0
baseline,3,encoding_field,3,6,18
baseline,3,nominal_y,1,0,0
baseline,3,ordered_x,1,1,1
baseline,3,type_n,1,2,2
baseline,3,type_q,2,0,0
baseline,3,x_y_fields_order,1,1,1
baseline,3,x_y_raw,1,1,1
baseline,3,zero_bin,1,1,1
baseline,4,bin,1,2,2
baseline,4,continuous_size,1,1,1
baseline,4,d_d_point,1,0,0
baseline,4,encoding,3,0,0
baseline,4,encoding_field,3,6,18
baseline,4,nominal_x,1,3,3
baseline,4,ordered_y,1,0,0
baseline,4,type_n,1,2,2
baseline,4,type_q,2,0,0
baseline,4,x_y_raw,1,1,1
baseline,4,zero_bin,1,1,1
baseline,5,bin,1,2,2
baseline,5,continuous_size,1,1,1
baseline,5,d_d_point,1,0,0
baseline,5,encoding,3,0,0
baseline,5,encoding_field,3,6,18
baseline,5,nominal_x,1,3,3
baseline,5,ordered_y,1,0,0
baseline,5,type_n,1,2,2
baseline,5,type_q,2,0,0
baseline,5,x_y_raw,1,1,1
baseline,5,zero_bin,1,1,1
baseline,6,bin,1,2,2
baseline,6,c_d_no_overlap_bar,1,0,0
baseline,6,continuous_y,1,0,0
baseline,6,encoding,3,0,0
baseline,6,encoding_field,3,6,18
baseline,6,nominal_color,1,6,6
baseline,6,ordered_x,1,1,1
baseline,6,stack_zero,1,0,0
baseline,6,type_n,1,2,2
baseline,6,type_q,2,0,0
baseline,6,zero_bin,1,1,1
baseline,7,bin,1,2,2
baseline,7,c_d_tick,1,0,0
baseline,7,continuous_y,1,0,0
baseline,7,encoding,3,0,0
baseline,7,encoding_field,3,6,18
baseline,7,nominal_color,1,6,6
baseline,7,ordered_x,1,1,1
baseline,7,type_n,1,2,2
baseline,7,type_q,2,0,0
baseline,7,zero_bin,1,1,1
baseline,8,c_c_point,1,0,0
baseline,8,continuous_x,1,0,0
baseline,8,continuous_y,1,0,0
baseline,8,encoding,3,0,0
baseline,8,encoding_field,3,6,18
baseline,8,nominal_row,1,8,8
baseline,8,type_n,1,2,2
baseline,8,type_q,2,0,0
baseline,8,x_row,1,1,1
