match,match_type,crossed,b_cost,v_cost,set,rank
0,exact,not,21,21,baseline,3
1,exact,not,28,28,baseline,6
2,exact,with_equal_cost,31,31,baseline,12
3,exact,with_equal_cost,31,31,baseline,13
4,exact,with_equal_cost,31,31,baseline,14
5,exact,with_equal_cost,32,32,baseline,15
6,exact,with_equal_cost,32,32,baseline,16
7,exact,with_equal_cost,32,32,baseline,18
8,exact,with_different_cost,32,31,baseline,19
0,exact,not,21,21,verde,0
1,exact,not,28,28,verde,1
2,exact,with_equal_cost,31,31,verde,6
3,exact,with_equal_cost,31,31,verde,2
4,exact,with_equal_cost,31,31,verde,5
5,exact,with_equal_cost,32,32,verde,14
6,exact,with_equal_cost,32,32,verde,15
7,exact,with_equal_cost,32,32,verde,13
8,exact,with_different_cost,32,31,verde,4
