match,match_type,crossed,b_cost,v_cost,set,rank
0,verde_addition,with_equal_cost,26,26,baseline,0
1,verde_addition,with_different_cost,27,26,baseline,2
2,verde_addition,not,27,26,baseline,3
3,verde_addition,not,28,28,baseline,4
4,verde_addition,not,28,28,baseline,5
5,verde_addition,with_equal_cost,30,30,baseline,6
6,verde_addition,with_equal_cost,30,30,baseline,7
7,verde_addition,with_equal_cost,30,30,baseline,8
8,verde_addition,with_equal_cost,30,30,baseline,9
9,verde_addition,with_different_cost,31,30,baseline,11
10,verde_addition,with_different_cost,31,30,baseline,12
11,verde_addition,with_equal_cost,31,31,baseline,13
12,verde_addition,with_equal_cost,31,31,baseline,14
13,verde_addition,with_different_cost,31,30,baseline,15
14,verde_addition,with_different_cost,31,30,baseline,17
15,verde_addition,with_different_cost,31,30,baseline,19
0,verde_addition,with_equal_cost,26,26,verde,1
1,verde_addition,with_different_cost,27,26,verde,0
2,verde_addition,not,27,26,verde,2
3,verde_addition,not,28,28,verde,3
4,verde_addition,not,28,28,verde,4
5,verde_addition,with_equal_cost,30,30,verde,6
6,verde_addition,with_equal_cost,30,30,verde,7
7,verde_addition,with_equal_cost,30,30,verde,12
8,verde_addition,with_equal_cost,30,30,verde,13
9,verde_addition,with_different_cost,31,30,verde,6
10,verde_addition,with_different_cost,31,30,verde,5
11,verde_addition,with_equal_cost,31,31,verde,18
12,verde_addition,with_equal_cost,31,31,verde,19
13,verde_addition,with_different_cost,31,30,verde,11
14,verde_addition,with_different_cost,31,30,verde,14
15,verde_addition,with_different_cost,31,30,verde,8
