cost,violations,props,vl,vl_spec_file,matches,set,rank,has_match
26,"{'c_c_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 2, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'channel(v_v,e1,x).', 'channel(v_v,e2,y).', 'channel(v_v,e0,color).', 'field(v_v,e0,""Age_Group"").', 'field(v_v,e1,""New_Client_Requests"").', 'field(v_v,e2,""ST_Max_Care"").', 'zero(v_v,e1).', 'zero(v_v,e2).', 'type(v_v,e1,quantitative).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'color': {'type': 'nominal', 'field': 'Age_Group'}, 'x': {'type': 'quantitative', 'field': 'New_Client_Requests', 'scale': {'zero': True}}, 'y': {'type': 'quantitative', 'field': 'ST_Max_Care', 'scale': {'zero': True}}}}",trial_05_it.exp_02b_baseline_m00_c026_vl.json,1.0,baseline,0,True
27,"{'c_c_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'channel(v_v,e2,x).', 'channel(v_v,e1,y).', 'channel(v_v,e0,color).', 'field(v_v,e0,""Age_Group"").', 'field(v_v,e1,""New_Client_Requests"").', 'field(v_v,e2,""ST_Max_Care"").', 'zero(v_v,e1).', 'zero(v_v,e2).', 'type(v_v,e1,quantitative).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'color': {'type': 'nominal', 'field': 'Age_Group'}, 'y': {'type': 'quantitative', 'field': 'New_Client_Requests', 'scale': {'zero': True}}, 'x': {'type': 'quantitative', 'field': 'ST_Max_Care', 'scale': {'zero': True}}}}",trial_05_it.exp_02b_baseline_m01_c027_vl.json,,baseline,1,False
27,"{'bin': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'continuous_size': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'd_d_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'ordered_x': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'x_y_raw': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'zero_bin': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'bin(v_v,e2,10).', 'channel(v_v,e2,x).', 'channel(v_v,e0,y).', 'channel(v_v,e1,size).', 'field(v_v,e0,""Age_Group"").', 'field(v_v,e1,""New_Client_Requests"").', 'field(v_v,e2,""ST_Max_Care"").', 'zero(v_v,e1).', 'zero(v_v,e2).', 'type(v_v,e1,quantitative).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'y': {'type': 'nominal', 'field': 'Age_Group'}, 'size': {'type': 'quantitative', 'field': 'New_Client_Requests', 'scale': {'zero': True}}, 'x': {'type': 'quantitative', 'field': 'ST_Max_Care', 'bin': True, 'scale': {'zero': True}}}}",trial_05_it.exp_02b_baseline_m02_c027_vl.json,0.0,baseline,2,True
27,"{'bin': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'continuous_size': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'd_d_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'ordered_x': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'x_y_raw': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'zero_bin': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'bin(v_v,e1,10).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'channel(v_v,e2,size).', 'field(v_v,e0,""Age_Group"").', 'field(v_v,e1,""New_Client_Requests"").', 'field(v_v,e2,""ST_Max_Care"").', 'zero(v_v,e1).', 'zero(v_v,e2).', 'type(v_v,e1,quantitative).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'y': {'type': 'nominal', 'field': 'Age_Group'}, 'x': {'type': 'quantitative', 'field': 'New_Client_Requests', 'bin': True, 'scale': {'zero': True}}, 'size': {'type': 'quantitative', 'field': 'ST_Max_Care', 'scale': {'zero': True}}}}",trial_05_it.exp_02b_baseline_m03_c027_vl.json,2.0,baseline,3,True
28,"{'bin': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'continuous_size': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'd_d_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'ordered_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'x_y_raw': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'zero_bin': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'bin(v_v,e1,10).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'channel(v_v,e2,size).', 'field(v_v,e0,""Age_Group"").', 'field(v_v,e1,""New_Client_Requests"").', 'field(v_v,e2,""ST_Max_Care"").', 'zero(v_v,e1).', 'zero(v_v,e2).', 'type(v_v,e1,quantitative).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'x': {'type': 'nominal', 'field': 'Age_Group'}, 'y': {'type': 'quantitative', 'field': 'New_Client_Requests', 'bin': True, 'scale': {'zero': True}}, 'size': {'type': 'quantitative', 'field': 'ST_Max_Care', 'scale': {'zero': True}}}}",trial_05_it.exp_02b_baseline_m04_c028_vl.json,3.0,baseline,4,True
28,"{'bin': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'continuous_size': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'd_d_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'ordered_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'x_y_raw': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'zero_bin': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'bin(v_v,e2,10).', 'channel(v_v,e0,x).', 'channel(v_v,e2,y).', 'channel(v_v,e1,size).', 'field(v_v,e0,""Age_Group"").', 'field(v_v,e1,""New_Client_Requests"").', 'field(v_v,e2,""ST_Max_Care"").', 'zero(v_v,e1).', 'zero(v_v,e2).', 'type(v_v,e1,quantitative).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'x': {'type': 'nominal', 'field': 'Age_Group'}, 'size': {'type': 'quantitative', 'field': 'New_Client_Requests', 'scale': {'zero': True}}, 'y': {'type': 'quantitative', 'field': 'ST_Max_Care', 'bin': True, 'scale': {'zero': True}}}}",trial_05_it.exp_02b_baseline_m05_c028_vl.json,4.0,baseline,5,True
30,"{'bin': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'ordered_x': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'stack_zero': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'zero_bin': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'bin(v_v,e1,10).', 'channel(v_v,e1,x).', 'channel(v_v,e2,y).', 'channel(v_v,e0,color).', 'field(v_v,e0,""Age_Group"").', 'field(v_v,e1,""New_Client_Requests"").', 'field(v_v,e2,""ST_Max_Care"").', 'zero(v_v,e1).', 'zero(v_v,e2).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).', 'type(v_v,e2,quantitative).', 'stack(v_v,zero).']","{'mark': 'bar', 'encoding': {'color': {'type': 'nominal', 'field': 'Age_Group'}, 'x': {'type': 'quantitative', 'field': 'New_Client_Requests', 'bin': True, 'scale': {'zero': True}}, 'y': {'type': 'quantitative', 'field': 'ST_Max_Care', 'scale': {'zero': True}}}}",trial_05_it.exp_02b_baseline_m06_c030_vl.json,6.0,baseline,6,True
30,"{'bin': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'c_d_tick': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'ordered_x': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'zero_bin': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'bin(v_v,e1,10).', 'channel(v_v,e1,x).', 'channel(v_v,e2,y).', 'channel(v_v,e0,color).', 'field(v_v,e0,""Age_Group"").', 'field(v_v,e1,""New_Client_Requests"").', 'field(v_v,e2,""ST_Max_Care"").', 'zero(v_v,e1).', 'zero(v_v,e2).', 'type(v_v,e1,quantitative).', 'type(v_v,e2,quantitative).', 'mark(v_v,tick).']","{'mark': 'tick', 'encoding': {'color': {'type': 'nominal', 'field': 'Age_Group'}, 'x': {'type': 'quantitative', 'field': 'New_Client_Requests', 'bin': True, 'scale': {'zero': True}}, 'y': {'type': 'quantitative', 'field': 'ST_Max_Care', 'scale': {'zero': True}}}}",trial_05_it.exp_02b_baseline_m07_c030_vl.json,7.0,baseline,7,True
30,"{'c_c_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_row': {'num': 1, 'weight': 8, 'cost_contrib': 8}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'x_row': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'y_row': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'channel(v_v,e1,x).', 'channel(v_v,e2,y).', 'channel(v_v,e0,row).', 'field(v_v,e0,""Age_Group"").', 'field(v_v,e1,""New_Client_Requests"").', 'field(v_v,e2,""ST_Max_Care"").', 'zero(v_v,e1).', 'zero(v_v,e2).', 'type(v_v,e1,quantitative).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'row': {'type': 'nominal', 'field': 'Age_Group'}, 'x': {'type': 'quantitative', 'field': 'New_Client_Requests', 'scale': {'zero': True}}, 'y': {'type': 'quantitative', 'field': 'ST_Max_Care', 'scale': {'zero': True}}}}",trial_05_it.exp_02b_baseline_m08_c030_vl.json,12.0,baseline,8,True
30,"{'c_c_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_shape': {'num': 1, 'weight': 10, 'cost_contrib': 10}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 2, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'channel(v_v,e1,x).', 'channel(v_v,e2,y).', 'channel(v_v,e0,shape).', 'field(v_v,e0,""Age_Group"").', 'field(v_v,e1,""New_Client_Requests"").', 'field(v_v,e2,""ST_Max_Care"").', 'zero(v_v,e1).', 'zero(v_v,e2).', 'type(v_v,e1,quantitative).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'shape': {'type': 'nominal', 'field': 'Age_Group'}, 'x': {'type': 'quantitative', 'field': 'New_Client_Requests', 'scale': {'zero': True}}, 'y': {'type': 'quantitative', 'field': 'ST_Max_Care', 'scale': {'zero': True}}}}",trial_05_it.exp_02b_baseline_m09_c030_vl.json,13.0,baseline,9,True
