match,match_type,crossed,b_cost,v_cost,set,rank
0,verde_addition,with_different_cost,15,14,baseline,0
1,verde_addition,with_different_cost,15,24,baseline,0
2,verde_addition,with_equal_cost,17,17,baseline,1
3,verde_addition,with_different_cost,17,27,baseline,1
4,verde_addition,with_different_cost,20,19,baseline,2
5,verde_addition,with_different_cost,21,20,baseline,3
6,verde_addition,with_equal_cost,22,22,baseline,4
7,verde_addition,with_different_cost,22,21,baseline,5
8,verde_addition,with_different_cost,23,22,baseline,6
9,verde_addition,with_equal_cost,23,23,baseline,7
10,verde_addition,with_different_cost,23,22,baseline,8
11,verde_addition,with_equal_cost,24,24,baseline,9
12,verde_addition,with_different_cost,24,23,baseline,10
13,verde_addition,with_equal_cost,24,24,baseline,11
14,verde_addition,with_equal_cost,24,24,baseline,12
15,verde_addition,with_equal_cost,25,25,baseline,13
16,verde_addition,with_equal_cost,25,25,baseline,14
17,verde_addition,with_different_cost,25,14,baseline,15
18,verde_addition,with_different_cost,25,24,baseline,15
19,verde_addition,with_equal_cost,26,26,baseline,16
20,verde_addition,with_different_cost,27,17,baseline,17
21,verde_addition,with_equal_cost,27,27,baseline,17
22,verde_addition,not,29,29,baseline,18
0,verde_addition,with_different_cost,15,14,verde,0
1,verde_addition,with_different_cost,15,24,verde,11
2,verde_addition,with_equal_cost,17,17,verde,1
3,verde_addition,with_different_cost,17,27,verde,17
4,verde_addition,with_different_cost,20,19,verde,2
5,verde_addition,with_different_cost,21,20,verde,3
6,verde_addition,with_equal_cost,22,22,verde,7
7,verde_addition,with_different_cost,22,21,verde,4
8,verde_addition,with_different_cost,23,22,verde,5
9,verde_addition,with_equal_cost,23,23,verde,8
10,verde_addition,with_different_cost,23,22,verde,6
11,verde_addition,with_equal_cost,24,24,verde,13
12,verde_addition,with_different_cost,24,23,verde,9
13,verde_addition,with_equal_cost,24,24,verde,10
14,verde_addition,with_equal_cost,24,24,verde,12
15,verde_addition,with_equal_cost,25,25,verde,15
16,verde_addition,with_equal_cost,25,25,verde,14
17,verde_addition,with_different_cost,25,14,verde,0
18,verde_addition,with_different_cost,25,24,verde,11
19,verde_addition,with_equal_cost,26,26,verde,16
20,verde_addition,with_different_cost,27,17,verde,1
21,verde_addition,with_equal_cost,27,27,verde,17
22,verde_addition,not,29,29,verde,19
