set,rank,violation,num,weight,cost_contrib
baseline,0,c_d_no_overlap_bar,1,0,0
baseline,0,continuous_x,1,0,0
baseline,0,encoding,2,0,0
baseline,0,encoding_field,2,6,12
baseline,0,nominal_y,1,0,0
baseline,0,type_n,1,2,2
baseline,0,type_q,1,0,0
baseline,0,x_y_fields_order,1,1,1
baseline,1,c_d_no_overlap_bar,1,0,0
baseline,1,continuous_y,1,0,0
baseline,1,encoding,2,0,0
baseline,1,encoding_field,2,6,12
baseline,1,nominal_x,1,3,3
baseline,1,type_n,1,2,2
baseline,1,type_q,1,0,0
baseline,2,aggregate,1,4,4
baseline,2,aggregate_mean,1,1,1
baseline,2,c_d_no_overlap_bar,1,0,0
baseline,2,continuous_x,1,0,0
baseline,2,encoding,2,0,0
baseline,2,encoding_field,2,6,12
baseline,2,nominal_y,1,0,0
baseline,2,type_n,1,2,2
baseline,2,type_q,1,0,0
baseline,2,x_y_fields_order,1,1,1
baseline,3,aggregate,1,4,4
baseline,3,aggregate_sum,1,2,2
baseline,3,c_d_no_overlap_bar,1,0,0
baseline,3,continuous_x,1,0,0
baseline,3,encoding,2,0,0
baseline,3,encoding_field,2,6,12
baseline,3,nominal_y,1,0,0
baseline,3,type_n,1,2,2
baseline,3,type_q,1,0,0
baseline,3,x_y_fields_order,1,1,1
baseline,4,aggregate,1,4,4
baseline,4,aggregate_mean,1,1,1
baseline,4,c_d_no_overlap_bar,1,0,0
baseline,4,continuous_y,1,0,0
baseline,4,encoding,2,0,0
baseline,4,encoding_field,2,6,12
baseline,4,nominal_x,1,3,3
baseline,4,type_n,1,2,2
baseline,4,type_q,1,0,0
baseline,5,aggregate,1,4,4
baseline,5,aggregate_median,1,3,3
baseline,5,c_d_no_overlap_bar,1,0,0
baseline,5,continuous_x,1,0,0
baseline,5,encoding,2,0,0
baseline,5,encoding_field,2,6,12
baseline,5,nominal_y,1,0,0
baseline,5,type_n,1,2,2
baseline,5,type_q,1,0,0
baseline,5,x_y_fields_order,1,1,1
baseline,6,aggregate,1,4,4
baseline,6,aggregate_max,1,4,4
baseline,6,c_d_no_overlap_bar,1,0,0
baseline,6,continuous_x,1,0,0
baseline,6,encoding,2,0,0
baseline,6,encoding_field,2,6,12
baseline,6,nominal_y,1,0,0
baseline,6,type_n,1,2,2
baseline,6,type_q,1,0,0
baseline,6,x_y_fields_order,1,1,1
baseline,7,aggregate,1,4,4
baseline,7,aggregate_sum,1,2,2
baseline,7,c_d_no_overlap_bar,1,0,0
baseline,7,continuous_y,1,0,0
baseline,7,encoding,2,0,0
baseline,7,encoding_field,2,6,12
baseline,7,nominal_x,1,3,3
baseline,7,type_n,1,2,2
baseline,7,type_q,1,0,0
baseline,8,aggregate,1,4,4
baseline,8,aggregate_min,1,4,4
baseline,8,c_d_no_overlap_bar,1,0,0
baseline,8,continuous_x,1,0,0
baseline,8,encoding,2,0,0
baseline,8,encoding_field,2,6,12
baseline,8,nominal_y,1,0,0
baseline,8,type_n,1,2,2
baseline,8,type_q,1,0,0
baseline,8,x_y_fields_order,1,1,1
baseline,9,aggregate,1,4,4
baseline,9,aggregate_median,1,3,3
baseline,9,c_d_no_overlap_bar,1,0,0
baseline,9,continuous_y,1,0,0
baseline,9,encoding,2,0,0
baseline,9,encoding_field,2,6,12
baseline,9,nominal_x,1,3,3
baseline,9,type_n,1,2,2
baseline,9,type_q,1,0,0
baseline,10,aggregate,1,4,4
baseline,10,aggregate_stdev,1,5,5
baseline,10,c_d_no_overlap_bar,1,0,0
baseline,10,continuous_x,1,0,0
baseline,10,encoding,2,0,0
baseline,10,encoding_field,2,6,12
baseline,10,nominal_y,1,0,0
baseline,10,type_n,1,2,2
baseline,10,type_q,1,0,0
baseline,10,x_y_fields_order,1,1,1
baseline,11,c_d_tick,1,0,0
baseline,11,continuous_x,1,0,0
baseline,11,encoding,2,0,0
baseline,11,encoding_field,2,6,12
baseline,11,nominal_column,1,9,9
baseline,11,type_n,1,2,2
baseline,11,type_q,1,0,0
baseline,11,x_column,1,1,1
