cost,violations,props,vl,vl_spec_file,matches,set,rank,has_match
14,"{'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e1,nominal).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""QoL_all"").', 'field(v_v,e1,""region"").', 'zero(v_v,e0).', 'type(v_v,e0,quantitative).', 'mark(v_v,bar).']","{'mark': 'bar', 'encoding': {'x': {'type': 'quantitative', 'field': 'QoL_all', 'scale': {'zero': True}}, 'y': {'type': 'nominal', 'field': 'region'}}}",trial_06_st.exp_01c1_baseline_m00_c014_vl.json,12,baseline,0,True
18,"{'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e1,nominal).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'field(v_v,e0,""QoL_all"").', 'field(v_v,e1,""region"").', 'zero(v_v,e0).', 'type(v_v,e0,quantitative).', 'mark(v_v,bar).']","{'mark': 'bar', 'encoding': {'y': {'type': 'quantitative', 'field': 'QoL_all', 'scale': {'zero': True}}, 'x': {'type': 'nominal', 'field': 'region'}}}",trial_06_st.exp_01c1_baseline_m01_c018_vl.json,17,baseline,1,True
19,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_mean': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e1,nominal).', 'aggregate(v_v,e0,mean).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""QoL_all"").', 'field(v_v,e1,""region"").', 'zero(v_v,e0).', 'type(v_v,e0,quantitative).', 'mark(v_v,bar).']","{'mark': 'bar', 'encoding': {'x': {'type': 'quantitative', 'aggregate': 'mean', 'field': 'QoL_all', 'scale': {'zero': True}}, 'y': {'type': 'nominal', 'field': 'region'}}}",trial_06_st.exp_01c1_baseline_m02_c019_vl.json,2,baseline,2,True
20,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_sum': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e1,nominal).', 'aggregate(v_v,e0,sum).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""QoL_all"").', 'field(v_v,e1,""region"").', 'zero(v_v,e0).', 'type(v_v,e0,quantitative).', 'mark(v_v,bar).']","{'mark': 'bar', 'encoding': {'x': {'type': 'quantitative', 'aggregate': 'sum', 'field': 'QoL_all', 'scale': {'zero': True}}, 'y': {'type': 'nominal', 'field': 'region'}}}",trial_06_st.exp_01c1_baseline_m03_c020_vl.json,3,baseline,3,True
21,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_median': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e1,nominal).', 'aggregate(v_v,e0,median).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""QoL_all"").', 'field(v_v,e1,""region"").', 'zero(v_v,e0).', 'type(v_v,e0,quantitative).', 'mark(v_v,bar).']","{'mark': 'bar', 'encoding': {'x': {'type': 'quantitative', 'aggregate': 'median', 'field': 'QoL_all', 'scale': {'zero': True}}, 'y': {'type': 'nominal', 'field': 'region'}}}",trial_06_st.exp_01c1_baseline_m04_c021_vl.json,4,baseline,4,True
22,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_max': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e1,nominal).', 'aggregate(v_v,e0,max).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""QoL_all"").', 'field(v_v,e1,""region"").', 'zero(v_v,e0).', 'type(v_v,e0,quantitative).', 'mark(v_v,bar).']","{'mark': 'bar', 'encoding': {'x': {'type': 'quantitative', 'aggregate': 'max', 'field': 'QoL_all', 'scale': {'zero': True}}, 'y': {'type': 'nominal', 'field': 'region'}}}",trial_06_st.exp_01c1_baseline_m05_c022_vl.json,6,baseline,5,True
22,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_min': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e1,nominal).', 'aggregate(v_v,e0,min).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""QoL_all"").', 'field(v_v,e1,""region"").', 'zero(v_v,e0).', 'type(v_v,e0,quantitative).', 'mark(v_v,bar).']","{'mark': 'bar', 'encoding': {'x': {'type': 'quantitative', 'aggregate': 'min', 'field': 'QoL_all', 'scale': {'zero': True}}, 'y': {'type': 'nominal', 'field': 'region'}}}",trial_06_st.exp_01c1_baseline_m06_c022_vl.json,7,baseline,6,True
23,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_stdev': {'num': 1, 'weight': 5, 'cost_contrib': 5}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e1,nominal).', 'aggregate(v_v,e0,stdev).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""QoL_all"").', 'field(v_v,e1,""region"").', 'zero(v_v,e0).', 'type(v_v,e0,quantitative).', 'mark(v_v,bar).']","{'mark': 'bar', 'encoding': {'x': {'type': 'quantitative', 'aggregate': 'stdev', 'field': 'QoL_all', 'scale': {'zero': True}}, 'y': {'type': 'nominal', 'field': 'region'}}}",trial_06_st.exp_01c1_baseline_m07_c023_vl.json,8,baseline,7,True
23,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_mean': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e1,nominal).', 'aggregate(v_v,e0,mean).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'field(v_v,e0,""QoL_all"").', 'field(v_v,e1,""region"").', 'zero(v_v,e0).', 'type(v_v,e0,quantitative).', 'mark(v_v,bar).']","{'mark': 'bar', 'encoding': {'y': {'type': 'quantitative', 'aggregate': 'mean', 'field': 'QoL_all', 'scale': {'zero': True}}, 'x': {'type': 'nominal', 'field': 'region'}}}",trial_06_st.exp_01c1_baseline_m08_c023_vl.json,5,baseline,8,True
24,"{'c_d_tick': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_column': {'num': 1, 'weight': 9, 'cost_contrib': 9}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_column': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e1,nominal).', 'channel(v_v,e0,x).', 'channel(v_v,e1,column).', 'field(v_v,e0,""QoL_all"").', 'field(v_v,e1,""region"").', 'zero(v_v,e0).', 'type(v_v,e0,quantitative).', 'mark(v_v,tick).']","{'mark': 'tick', 'encoding': {'x': {'type': 'quantitative', 'field': 'QoL_all', 'scale': {'zero': True}}, 'column': {'type': 'nominal', 'field': 'region'}}}",trial_06_st.exp_01c1_baseline_m09_c024_vl.json,11,baseline,9,True
