match,match_type,crossed,b_cost,v_cost,set,rank
0,verde_addition,not,21,21,baseline,0
1,verde_addition,not,24,23,baseline,1
2,verde_addition,not,24,24,baseline,2
3,verde_addition,with_equal_cost,25,25,baseline,3
4,verde_addition,with_equal_cost,25,25,baseline,4
5,verde_addition,with_equal_cost,25,25,baseline,5
6,verde_addition,with_different_cost,25,26,baseline,5
7,verde_addition,with_equal_cost,26,26,baseline,6
8,verde_addition,with_equal_cost,26,26,baseline,7
9,verde_addition,with_equal_cost,26,26,baseline,8
10,verde_addition,with_different_cost,26,27,baseline,8
11,verde_addition,with_equal_cost,26,26,baseline,9
12,verde_addition,with_equal_cost,26,26,baseline,10
13,verde_addition,with_different_cost,26,25,baseline,11
14,verde_addition,with_equal_cost,26,26,baseline,11
15,verde_addition,with_equal_cost,26,26,baseline,12
16,verde_addition,with_different_cost,27,26,baseline,13
17,verde_addition,with_equal_cost,27,27,baseline,13
18,verde_addition,with_equal_cost,27,27,baseline,15
19,verde_addition,with_equal_cost,27,27,baseline,16
20,verde_addition,with_equal_cost,27,27,baseline,17
21,verde_addition,with_equal_cost,27,27,baseline,18
0,verde_addition,not,21,21,verde,0
1,verde_addition,not,24,23,verde,1
2,verde_addition,not,24,24,verde,2
3,verde_addition,with_equal_cost,25,25,verde,5
4,verde_addition,with_equal_cost,25,25,verde,3
5,verde_addition,with_equal_cost,25,25,verde,4
6,verde_addition,with_different_cost,25,26,verde,12
7,verde_addition,with_equal_cost,26,26,verde,7
8,verde_addition,with_equal_cost,26,26,verde,9
9,verde_addition,with_equal_cost,26,26,verde,10
10,verde_addition,with_different_cost,26,27,verde,19
11,verde_addition,with_equal_cost,26,26,verde,6
12,verde_addition,with_equal_cost,26,26,verde,8
13,verde_addition,with_different_cost,26,25,verde,4
14,verde_addition,with_equal_cost,26,26,verde,12
15,verde_addition,with_equal_cost,26,26,verde,11
16,verde_addition,with_different_cost,27,26,verde,10
17,verde_addition,with_equal_cost,27,27,verde,19
18,verde_addition,with_equal_cost,27,27,verde,16
19,verde_addition,with_equal_cost,27,27,verde,17
20,verde_addition,with_equal_cost,27,27,verde,15
21,verde_addition,with_equal_cost,27,27,verde,18
