match,match_type,crossed,b_cost,v_cost,set,rank
0,verde_addition,not,27,27,baseline,0
1,verde_addition,not,28,27,baseline,1
2,verde_addition,with_different_cost,29,28,baseline,2
3,verde_addition,with_different_cost,29,28,baseline,3
4,verde_addition,with_equal_cost,29,29,baseline,3
5,verde_addition,with_different_cost,29,28,baseline,4
6,verde_addition,with_different_cost,29,28,baseline,5
7,verde_addition,with_equal_cost,29,29,baseline,5
8,verde_addition,with_different_cost,30,28,baseline,6
9,verde_addition,with_different_cost,30,29,baseline,6
10,verde_addition,with_different_cost,30,28,baseline,7
11,verde_addition,with_different_cost,30,29,baseline,7
12,verde_addition,with_equal_cost,31,31,baseline,8
13,verde_addition,with_equal_cost,31,31,baseline,9
14,verde_addition,with_different_cost,31,32,baseline,9
15,verde_addition,with_equal_cost,31,31,baseline,10
16,verde_addition,with_equal_cost,31,31,baseline,11
17,verde_addition,with_different_cost,31,32,baseline,11
18,verde_addition,with_equal_cost,31,31,baseline,12
19,verde_addition,with_equal_cost,32,32,baseline,13
20,verde_addition,with_different_cost,32,31,baseline,14
21,verde_addition,with_equal_cost,32,32,baseline,14
22,verde_addition,with_different_cost,32,31,baseline,15
23,verde_addition,with_equal_cost,32,32,baseline,15
24,verde_addition,with_different_cost,32,31,baseline,16
25,verde_addition,with_different_cost,33,32,baseline,17
26,verde_addition,not,33,32,baseline,19
0,verde_addition,not,27,27,verde,0
1,verde_addition,not,28,27,verde,1
2,verde_addition,with_different_cost,29,28,verde,4
3,verde_addition,with_different_cost,29,28,verde,5
4,verde_addition,with_equal_cost,29,29,verde,6
5,verde_addition,with_different_cost,29,28,verde,2
6,verde_addition,with_different_cost,29,28,verde,3
7,verde_addition,with_equal_cost,29,29,verde,7
8,verde_addition,with_different_cost,30,28,verde,3
9,verde_addition,with_different_cost,30,29,verde,7
10,verde_addition,with_different_cost,30,28,verde,5
11,verde_addition,with_different_cost,30,29,verde,6
12,verde_addition,with_equal_cost,31,31,verde,10
13,verde_addition,with_equal_cost,31,31,verde,11
14,verde_addition,with_different_cost,31,32,verde,17
15,verde_addition,with_equal_cost,31,31,verde,8
16,verde_addition,with_equal_cost,31,31,verde,9
17,verde_addition,with_different_cost,31,32,verde,14
18,verde_addition,with_equal_cost,31,31,verde,13
19,verde_addition,with_equal_cost,32,32,verde,15
20,verde_addition,with_different_cost,32,31,verde,11
21,verde_addition,with_equal_cost,32,32,verde,17
22,verde_addition,with_different_cost,32,31,verde,9
23,verde_addition,with_equal_cost,32,32,verde,14
24,verde_addition,with_different_cost,32,31,verde,12
25,verde_addition,with_different_cost,33,32,verde,16
26,verde_addition,not,33,32,verde,19
