set,rank,violation,num,weight,cost_contrib
baseline,0,c_c_point,1,0,0
baseline,0,continuous_size,1,1,1
baseline,0,continuous_x,1,0,0
baseline,0,continuous_y,1,0,0
baseline,0,encoding,3,0,0
baseline,0,encoding_field,3,6,18
baseline,0,type_q,3,0,0
baseline,0,zero,1,1,1
baseline,0,zero_positional,1,1,1
baseline,1,c_c_point,1,0,0
baseline,1,continuous_size,1,1,1
baseline,1,continuous_x,1,0,0
baseline,1,continuous_y,1,0,0
baseline,1,encoding,3,0,0
baseline,1,encoding_field,3,6,18
baseline,1,type_q,3,0,0
baseline,1,zero,1,1,1
baseline,1,zero_positional,1,1,1
baseline,2,c_c_point,1,0,0
baseline,2,continuous_size,1,1,1
baseline,2,continuous_x,1,0,0
baseline,2,continuous_y,1,0,0
baseline,2,encoding,3,0,0
baseline,2,encoding_field,3,6,18
baseline,2,type_q,3,0,0
baseline,2,x_y_fields_order,1,1,1
baseline,2,zero,1,1,1
baseline,2,zero_positional,1,1,1
baseline,3,c_c_point,1,0,0
baseline,3,continuous_size,1,1,1
baseline,3,continuous_x,1,0,0
baseline,3,continuous_y,1,0,0
baseline,3,encoding,3,0,0
baseline,3,encoding_field,3,6,18
baseline,3,log,1,1,1
baseline,3,type_q,3,0,0
baseline,3,zero,1,1,1
baseline,3,zero_positional,1,1,1
baseline,4,c_c_point,1,0,0
baseline,4,continuous_size,1,1,1
baseline,4,continuous_x,1,0,0
baseline,4,continuous_y,1,0,0
baseline,4,encoding,3,0,0
baseline,4,encoding_field,3,6,18
baseline,4,type_q,3,0,0
baseline,4,x_y_fields_order,1,1,1
baseline,4,zero,1,1,1
baseline,4,zero_positional,1,1,1
baseline,5,c_c_point,1,0,0
baseline,5,continuous_size,1,1,1
baseline,5,continuous_x,1,0,0
baseline,5,continuous_y,1,0,0
baseline,5,encoding,3,0,0
baseline,5,encoding_field,3,6,18
baseline,5,log,1,1,1
baseline,5,type_q,3,0,0
baseline,5,zero,1,1,1
baseline,5,zero_positional,1,1,1
baseline,6,c_c_point,1,0,0
baseline,6,continuous_size,1,1,1
baseline,6,continuous_x,1,0,0
baseline,6,continuous_y,1,0,0
baseline,6,encoding,3,0,0
baseline,6,encoding_field,3,6,18
baseline,6,type_q,3,0,0
baseline,6,zero,1,1,1
baseline,6,zero_size,1,3,3
baseline,7,c_c_point,1,0,0
baseline,7,continuous_size,1,1,1
baseline,7,continuous_x,1,0,0
baseline,7,continuous_y,1,0,0
baseline,7,encoding,3,0,0
baseline,7,encoding_field,3,6,18
baseline,7,log,1,1,1
baseline,7,type_q,3,0,0
baseline,7,x_y_fields_order,1,1,1
baseline,7,zero,1,1,1
