match,match_type,crossed,b_cost,v_cost,set,rank
0,verde_addition,with_equal_cost,14,14,baseline,0
1,verde_addition,with_different_cost,14,24,baseline,0
2,verde_addition,with_different_cost,18,17,baseline,1
3,verde_addition,with_different_cost,18,27,baseline,1
4,verde_addition,with_equal_cost,19,19,baseline,2
5,verde_addition,with_equal_cost,20,20,baseline,3
6,verde_addition,with_equal_cost,21,21,baseline,4
7,verde_addition,with_equal_cost,22,22,baseline,5
8,verde_addition,with_equal_cost,22,22,baseline,6
9,verde_addition,with_equal_cost,23,23,baseline,7
10,verde_addition,with_different_cost,23,22,baseline,8
11,verde_addition,with_equal_cost,24,24,baseline,9
12,verde_addition,with_different_cost,24,14,baseline,10
13,verde_addition,with_equal_cost,24,24,baseline,10
14,verde_addition,with_equal_cost,24,24,baseline,11
15,verde_addition,with_different_cost,24,23,baseline,12
16,verde_addition,with_different_cost,25,24,baseline,13
17,verde_addition,with_different_cost,26,25,baseline,14
18,verde_addition,with_different_cost,26,25,baseline,15
19,verde_addition,with_different_cost,27,26,baseline,16
20,verde_addition,with_equal_cost,28,28,baseline,17
21,verde_addition,with_different_cost,28,17,baseline,18
22,verde_addition,with_different_cost,28,27,baseline,18
23,verde_addition,not,29,29,baseline,19
0,verde_addition,with_equal_cost,14,14,verde,0
1,verde_addition,with_different_cost,14,24,verde,12
2,verde_addition,with_different_cost,18,17,verde,1
3,verde_addition,with_different_cost,18,27,verde,17
4,verde_addition,with_equal_cost,19,19,verde,2
5,verde_addition,with_equal_cost,20,20,verde,3
6,verde_addition,with_equal_cost,21,21,verde,4
7,verde_addition,with_equal_cost,22,22,verde,6
8,verde_addition,with_equal_cost,22,22,verde,7
9,verde_addition,with_equal_cost,23,23,verde,8
10,verde_addition,with_different_cost,23,22,verde,5
11,verde_addition,with_equal_cost,24,24,verde,11
12,verde_addition,with_different_cost,24,14,verde,0
13,verde_addition,with_equal_cost,24,24,verde,12
14,verde_addition,with_equal_cost,24,24,verde,13
15,verde_addition,with_different_cost,24,23,verde,9
16,verde_addition,with_different_cost,25,24,verde,10
17,verde_addition,with_different_cost,26,25,verde,15
18,verde_addition,with_different_cost,26,25,verde,14
19,verde_addition,with_different_cost,27,26,verde,16
20,verde_addition,with_equal_cost,28,28,verde,18
21,verde_addition,with_different_cost,28,17,verde,1
22,verde_addition,with_different_cost,28,27,verde,17
23,verde_addition,not,29,29,verde,19
