set,rank,violation,num,weight,cost_contrib
baseline,0,aggregate,1,4,4
baseline,0,aggregate_count,1,0,0
baseline,0,continuous_size,1,1,1
baseline,0,d_d_point,1,0,0
baseline,0,encoding,3,0,0
baseline,0,encoding_field,2,6,12
baseline,0,nominal_y,1,0,0
baseline,0,ordered_x,1,1,1
baseline,0,type_n,1,2,2
baseline,0,type_o,1,1,1
baseline,0,type_q,1,0,0
baseline,1,aggregate,1,4,4
baseline,1,aggregate_count,1,0,0
baseline,1,continuous_size,1,1,1
baseline,1,d_d_point,1,0,0
baseline,1,encoding,3,0,0
baseline,1,encoding_field,2,6,12
baseline,1,nominal_x,1,3,3
baseline,1,ordered_y,1,0,0
baseline,1,type_n,1,2,2
baseline,1,type_o,1,1,1
baseline,1,type_q,1,0,0
baseline,1,x_y_fields_order,1,1,1
baseline,2,aggregate,1,4,4
baseline,2,aggregate_count,1,0,0
baseline,2,bin,1,2,2
baseline,2,continuous_size,1,1,1
baseline,2,d_d_point,1,0,0
baseline,2,encoding,3,0,0
baseline,2,encoding_field,2,6,12
baseline,2,nominal_y,1,0,0
baseline,2,ordered_x,1,1,1
baseline,2,quant_bin,1,1,1
baseline,2,type_n,1,2,2
baseline,2,type_o,1,1,1
baseline,2,type_q,1,0,0
baseline,3,aggregate,1,4,4
baseline,3,aggregate_count,1,0,0
baseline,3,continuous_size,1,1,1
baseline,3,d_d_point,1,0,0
baseline,3,encoding,3,0,0
baseline,3,encoding_field,2,6,12
baseline,3,nominal_y,1,0,0
baseline,3,ordered_x,1,1,1
baseline,3,type_n,1,2,2
baseline,3,type_o,1,1,1
baseline,3,type_q,1,0,0
baseline,3,zero,1,1,1
baseline,3,zero_size,1,3,3
baseline,4,aggregate,1,4,4
baseline,4,aggregate_count,1,0,0
baseline,4,c_d_tick,1,0,0
baseline,4,continuous_x,1,0,0
baseline,4,encoding,3,0,0
baseline,4,encoding_field,2,6,12
baseline,4,nominal_color,1,6,6
baseline,4,ordered_y,1,0,0
baseline,4,type_n,1,2,2
baseline,4,type_o,1,1,1
baseline,4,type_q,1,0,0
baseline,5,aggregate,1,4,4
baseline,5,aggregate_count,1,0,0
baseline,5,c_d_no_overlap_bar,1,0,0
baseline,5,continuous_x,1,0,0
baseline,5,encoding,3,0,0
baseline,5,encoding_field,2,6,12
baseline,5,nominal_color,1,6,6
baseline,5,ordered_y,1,0,0
baseline,5,stack_zero,1,0,0
baseline,5,type_n,1,2,2
baseline,5,type_o,1,1,1
baseline,5,type_q,1,0,0
baseline,6,aggregate,1,4,4
baseline,6,aggregate_count,1,0,0
baseline,6,continuous_size,1,1,1
baseline,6,d_d_point,1,0,0
baseline,6,encoding,3,0,0
baseline,6,encoding_field,2,6,12
baseline,6,log,1,1,1
baseline,6,nominal_y,1,0,0
baseline,6,ordered_x,1,1,1
baseline,6,type_n,1,2,2
baseline,6,type_o,1,1,1
baseline,6,type_q,1,0,0
baseline,6,zero,1,1,1
baseline,6,zero_size,1,3,3
baseline,7,aggregate,1,4,4
baseline,7,aggregate_count,1,0,0
baseline,7,c_d_tick,1,0,0
baseline,7,continuous_y,1,0,0
baseline,7,encoding,3,0,0
baseline,7,encoding_field,2,6,12
baseline,7,nominal_color,1,6,6
baseline,7,ordered_x,1,1,1
baseline,7,type_n,1,2,2
baseline,7,type_o,1,1,1
baseline,7,type_q,1,0,0
baseline,8,aggregate,1,4,4
baseline,8,aggregate_count,1,0,0
baseline,8,c_d_no_overlap_bar,1,0,0
baseline,8,continuous_y,1,0,0
baseline,8,encoding,3,0,0
baseline,8,encoding_field,2,6,12
baseline,8,nominal_color,1,6,6
baseline,8,ordered_x,1,1,1
baseline,8,stack_zero,1,0,0
baseline,8,type_n,1,2,2
baseline,8,type_o,1,1,1
baseline,8,type_q,1,0,0
baseline,9,c_d_no_overlap_point,1,10,10
baseline,9,continuous_x,1,0,0
baseline,9,encoding,2,0,0
baseline,9,encoding_field,2,6,12
baseline,9,nominal_y,1,0,0
baseline,9,type_n,1,2,2
baseline,9,type_q,1,0,0
baseline,9,zero,1,1,1
baseline,9,zero_positional,1,1,1
baseline,10,c_d_tick,1,0,0
baseline,10,continuous_x,1,0,0
baseline,10,encoding,2,0,0
baseline,10,encoding_field,2,6,12
baseline,10,nominal_column,1,9,9
baseline,10,type_n,1,2,2
baseline,10,type_q,1,0,0
baseline,10,x_column,1,1,1
baseline,10,zero,1,1,1
baseline,10,zero_positional,1,1,1
baseline,11,aggregate,1,4,4
baseline,11,aggregate_count,1,0,0
baseline,11,c_d_no_overlap_bar,1,0,0
baseline,11,continuous_x,1,0,0
baseline,11,encoding,3,0,0
baseline,11,encoding_field,2,6,12
baseline,11,nominal_color,1,6,6
baseline,11,ordered_y,1,0,0
baseline,11,stack_normalize,1,1,1
baseline,11,type_n,1,2,2
baseline,11,type_o,1,1,1
baseline,11,type_q,1,0,0
baseline,12,c_d_tick,1,0,0
baseline,12,continuous_y,1,0,0
baseline,12,encoding,2,0,0
baseline,12,encoding_field,2,6,12
baseline,12,nominal_row,1,8,8
baseline,12,only_x,1,1,1
baseline,12,type_n,1,2,2
baseline,12,type_q,1,0,0
baseline,12,y_row,1,1,1
baseline,12,zero,1,1,1
baseline,12,zero_positional,1,1,1
baseline,13,aggregate,1,4,4
baseline,13,aggregate_count,1,0,0
baseline,13,c_d_no_overlap_bar,1,0,0
baseline,13,continuous_y,1,0,0
baseline,13,encoding,3,0,0
baseline,13,encoding_field,2,6,12
baseline,13,nominal_color,1,6,6
baseline,13,ordered_x,1,1,1
baseline,13,stack_normalize,1,1,1
baseline,13,type_n,1,2,2
baseline,13,type_o,1,1,1
baseline,13,type_q,1,0,0
baseline,14,aggregate,1,4,4
baseline,14,aggregate_count,1,0,0
baseline,14,c_d_tick,1,0,0
baseline,14,continuous_x,1,0,0
baseline,14,encoding,3,0,0
baseline,14,encoding_field,2,6,12
baseline,14,nominal_color,1,6,6
baseline,14,ordered_y,1,0,0
baseline,14,type_n,1,2,2
baseline,14,type_o,1,1,1
baseline,14,type_q,1,0,0
baseline,14,zero,1,1,1
baseline,14,zero_positional,1,1,1
baseline,15,c_d_no_overlap_point,1,10,10
baseline,15,continuous_x,1,0,0
baseline,15,encoding,2,0,0
baseline,15,encoding_field,2,6,12
baseline,15,log,1,1,1
baseline,15,nominal_y,1,0,0
baseline,15,type_n,1,2,2
baseline,15,type_q,1,0,0
baseline,15,zero,1,1,1
baseline,15,zero_positional,1,1,1
baseline,16,c_d_tick,1,0,0
baseline,16,continuous_x,1,0,0
baseline,16,encoding,2,0,0
baseline,16,encoding_field,2,6,12
baseline,16,log,1,1,1
baseline,16,nominal_column,1,9,9
baseline,16,type_n,1,2,2
baseline,16,type_q,1,0,0
baseline,16,x_column,1,1,1
baseline,16,zero,1,1,1
baseline,16,zero_positional,1,1,1
baseline,17,c_d_tick,1,0,0
baseline,17,continuous_y,1,0,0
baseline,17,encoding,2,0,0
baseline,17,encoding_field,2,6,12
baseline,17,log,1,1,1
baseline,17,nominal_row,1,8,8
baseline,17,only_x,1,1,1
baseline,17,type_n,1,2,2
baseline,17,type_q,1,0,0
baseline,17,y_row,1,1,1
baseline,17,zero,1,1,1
baseline,17,zero_positional,1,1,1
baseline,18,aggregate,1,4,4
baseline,18,aggregate_count,1,0,0
baseline,18,c_d_no_overlap_bar,1,0,0
baseline,18,continuous_x,1,0,0
baseline,18,encoding,3,0,0
baseline,18,encoding_field,2,6,12
baseline,18,nominal_y,1,0,0
baseline,18,ordered_color,1,8,8
baseline,18,stack_zero,1,0,0
baseline,18,type_n,1,2,2
baseline,18,type_o,1,1,1
baseline,18,type_q,1,0,0
baseline,19,aggregate,1,4,4
baseline,19,aggregate_count,1,0,0
baseline,19,bin,1,2,2
baseline,19,bin_cardinality,1,5,5
baseline,19,continuous_size,1,1,1
baseline,19,d_d_point,1,0,0
baseline,19,encoding,3,0,0
baseline,19,encoding_field,2,6,12
baseline,19,nominal_y,1,0,0
baseline,19,ordered_x,1,1,1
baseline,19,type_n,1,2,2
baseline,19,type_q,2,0,0
verde,0,aggregate,1,4,4
verde,0,aggregate_count,1,0,0
verde,0,continuous_size,1,1,1
verde,0,d_d_point,1,0,0
verde,0,encoding,3,0,0
verde,0,encoding_field,2,6,12
verde,0,nominal_y,1,0,0
verde,0,ordered_x,1,1,1
verde,0,type_n,1,2,2
verde,0,type_o,1,1,1
verde,0,type_q,1,0,0
verde,0,verde_color_mark,1,0,0
verde,0,verde_ordinal_sort,1,0,0
verde,1,aggregate,1,4,4
verde,1,aggregate_count,1,0,0
verde,1,continuous_size,1,1,1
verde,1,d_d_point,1,0,0
verde,1,encoding,3,0,0
verde,1,encoding_field,2,6,12
verde,1,nominal_x,1,3,3
verde,1,ordered_y,1,0,0
verde,1,type_n,1,2,2
verde,1,type_o,1,1,1
verde,1,type_q,1,0,0
verde,1,verde_color_mark,1,0,0
verde,1,verde_ordinal_sort,1,0,0
verde,2,aggregate,1,4,4
verde,2,aggregate_count,1,0,0
verde,2,bin,1,2,2
verde,2,continuous_size,1,1,1
verde,2,d_d_point,1,0,0
verde,2,encoding,3,0,0
verde,2,encoding_field,2,6,12
verde,2,nominal_y,1,0,0
verde,2,ordered_x,1,1,1
verde,2,quant_bin,1,1,1
verde,2,type_n,1,2,2
verde,2,type_o,1,1,1
verde,2,type_q,1,0,0
verde,2,verde_color_mark,1,0,0
verde,2,verde_ordinal_sort,1,0,0
verde,3,aggregate,1,4,4
verde,3,aggregate_count,1,0,0
verde,3,c_d_tick,1,0,0
verde,3,continuous_x,1,0,0
verde,3,encoding,3,0,0
verde,3,encoding_field,2,6,12
verde,3,nominal_color,1,6,6
verde,3,ordered_y,1,0,0
verde,3,type_n,1,2,2
verde,3,type_o,1,1,1
verde,3,type_q,1,0,0
verde,3,verde_ordinal_sort,1,0,0
verde,4,aggregate,1,4,4
verde,4,aggregate_count,1,0,0
verde,4,c_d_no_overlap_bar,1,0,0
verde,4,continuous_x,1,0,0
verde,4,encoding,3,0,0
verde,4,encoding_field,2,6,12
