set,rank,violation,num,weight,cost_contrib
baseline,0,continuous_size,1,1,1
baseline,0,d_d_point,1,0,0
baseline,0,encoding,3,0,0
baseline,0,encoding_field,3,6,18
baseline,0,nominal_x,1,3,3
baseline,0,nominal_y,1,0,0
baseline,0,type_n,2,2,4
baseline,0,type_q,1,0,0
baseline,0,x_y_raw,1,1,1
baseline,1,continuous_size,1,1,1
baseline,1,d_d_point,1,0,0
baseline,1,encoding,3,0,0
baseline,1,encoding_field,3,6,18
baseline,1,nominal_x,1,3,3
baseline,1,nominal_y,1,0,0
baseline,1,type_n,2,2,4
baseline,1,type_q,1,0,0
baseline,1,x_y_fields_order,1,1,1
baseline,1,x_y_raw,1,1,1
baseline,2,c_d_tick,1,0,0
baseline,2,continuous_x,1,0,0
baseline,2,encoding,3,0,0
baseline,2,encoding_field,3,6,18
baseline,2,nominal_color,1,6,6
baseline,2,nominal_y,1,0,0
baseline,2,type_n,2,2,4
baseline,2,type_q,1,0,0
baseline,2,x_y_fields_order,1,1,1
baseline,3,c_d_no_overlap_bar,1,0,0
baseline,3,continuous_x,1,0,0
baseline,3,encoding,3,0,0
baseline,3,encoding_field,3,6,18
baseline,3,nominal_color,1,6,6
baseline,3,nominal_y,1,0,0
baseline,3,stack_zero,1,0,0
baseline,3,type_n,2,2,4
baseline,3,type_q,1,0,0
baseline,3,x_y_fields_order,1,1,1
baseline,4,c_d_tick,1,0,0
baseline,4,continuous_x,1,0,0
baseline,4,encoding,3,0,0
baseline,4,encoding_field,3,6,18
baseline,4,nominal_color,1,6,6
baseline,4,nominal_y,1,0,0
baseline,4,type_n,2,2,4
baseline,4,type_q,1,0,0
baseline,4,x_y_fields_order,1,1,1
baseline,5,c_d_no_overlap_bar,1,0,0
baseline,5,continuous_x,1,0,0
baseline,5,encoding,3,0,0
baseline,5,encoding_field,3,6,18
baseline,5,nominal_color,1,6,6
baseline,5,nominal_y,1,0,0
baseline,5,stack_zero,1,0,0
baseline,5,type_n,2,2,4
baseline,5,type_q,1,0,0
baseline,5,x_y_fields_order,1,1,1
baseline,6,c_d_no_overlap_bar,1,0,0
baseline,6,continuous_x,1,0,0
baseline,6,encoding,3,0,0
baseline,6,encoding_field,3,6,18
baseline,6,nominal_color,1,6,6
baseline,6,nominal_y,1,0,0
baseline,6,stack_normalize,1,1,1
baseline,6,type_n,2,2,4
baseline,6,type_q,1,0,0
baseline,6,x_y_fields_order,1,1,1
