match,match_type,crossed,b_cost,v_cost,set,rank
0,verde_addition,not,23,23,baseline,6
1,verde_addition,not,24,24,baseline,10
2,verde_addition,not,27,27,baseline,12
3,verde_addition,with_equal_cost,29,29,baseline,14
4,verde_addition,with_different_cost,29,30,baseline,14
5,verde_addition,with_equal_cost,30,30,baseline,15
6,verde_addition,with_equal_cost,30,30,baseline,17
7,verde_addition,with_different_cost,30,29,baseline,18
8,verde_addition,with_equal_cost,30,30,baseline,19
0,verde_addition,not,23,23,verde,0
1,verde_addition,not,24,24,verde,1
2,verde_addition,not,27,27,verde,2
3,verde_addition,with_equal_cost,29,29,verde,3
4,verde_addition,with_different_cost,29,30,verde,6
5,verde_addition,with_equal_cost,30,30,verde,8
6,verde_addition,with_equal_cost,30,30,verde,11
7,verde_addition,with_different_cost,30,29,verde,5
8,verde_addition,with_equal_cost,30,30,verde,7
